id_integracion,visita,pc,a0,rnd_archivos,t,A
4,1,4,1000,0.3014,0.2,806.6194
4,1,4,1000,0.3014,0.3,734.7559
4,1,4,1000,0.3014,0.4,673.9693
4,1,4,1000,0.3014,0.5,621.7458
4,1,4,1000,0.3014,0.6,576.289
4,1,4,1000,0.3014,0.7,536.2781
4,1,4,1000,0.3014,0.8,500.7187
4,1,4,1000,0.3014,0.9,468.8468
4,1,4,1000,0.3014,1.0,440.065
4,1,4,1000,0.3014,1.1,413.8993
4,1,4,1000,0.3014,1.2,389.9681
4,1,4,1000,0.3014,1.3,367.9606
4,1,4,1000,0.3014,1.4,347.6211
4,1,4,1000,0.3014,1.5,328.737
4,1,4,1000,0.3014,1.6,311.1302
4,1,4,1000,0.3014,1.7,294.65
4,1,4,1000,0.3014,1.8,279.1681
4,1,4,1000,0.3014,1.9,264.5747
4,1,4,1000,0.3014,2.0,250.7747
4,1,4,1000,0.3014,2.1,237.6859
4,1,4,1000,0.3014,2.2,225.2364
4,1,4,1000,0.3014,2.3,213.3633
4,1,4,1000,0.3014,2.4,202.0109
4,1,4,1000,0.3014,2.5,191.1301
4,1,4,1000,0.3014,2.6,180.677
4,1,4,1000,0.3014,2.7,170.6126
4,1,4,1000,0.3014,2.8,160.9017
4,1,4,1000,0.3014,2.9,151.5128
4,1,4,1000,0.3014,3.0,142.4172
4,1,4,1000,0.3014,3.1,133.5889
4,1,4,1000,0.3014,3.2,125.0043
4,1,4,1000,0.3014,3.3,116.6417
4,1,4,1000,0.3014,3.4,108.4812
4,1,4,1000,0.3014,3.5,100.5043
4,1,4,1000,0.3014,3.6,92.6942
4,1,4,1000,0.3014,3.7,85.035
4,1,4,1000,0.3014,3.8,77.5119
4,1,4,1000,0.3014,3.9,70.1111
4,1,4,1000,0.3014,4.0,62.8195
4,1,4,1000,0.3014,4.1,55.6249
4,1,4,1000,0.3014,4.2,48.5155
4,1,4,1000,0.3014,4.3,41.4801
4,1,4,1000,0.3014,4.4,34.5081
